Year,Team▲,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,NRtg,Pace,TS%,eFG%,OeFG%,Playoffs
2010,Atlanta Hawks*,82,240.6,36.2,78.4,0.462,6.1,17.4,0.352,30.1,61,0.494,16.4,21.1,0.779,9.3,30,39.3,22,6.1,4.2,13.6,19,95,106.1,107,-0.9,89.3,0.542,0.501,0.495,Y
2010,Boston Celtics*,82,241.2,36.9,75.8,0.486,5,13.6,0.365,31.9,62.2,0.513,17.8,23.1,0.77,7.8,31,38.8,23.4,8.2,4.2,14.6,20.5,96.5,106.2,100.3,5.9,90.4,0.561,0.519,0.469,Y
2010,Charlotte Bobcats,82,241.5,35,77.6,0.451,4.8,14.7,0.327,30.2,63,0.48,18.4,24.4,0.756,10.3,29.8,40.1,21.1,6.4,5.3,14.5,20,93.3,103.4,107.8,-4.4,89.6,0.528,0.482,0.5,N
2010,Chicago Bulls*,82,241.8,37.1,80.3,0.462,6.2,17.3,0.361,30.9,63.1,0.489,18.2,24.5,0.743,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20,98.6,108.3,100.3,8,90.4,0.541,0.501,0.463,Y
2010,Cleveland Cavaliers,82,240.9,35.2,81.1,0.434,6.2,18.2,0.342,29,62.9,0.461,18.9,25.3,0.745,10.4,29.9,40.3,21,6.6,4.2,14.2,20.1,95.5,102.2,111.8,-9.6,93,0.518,0.472,0.524,N
2010,Dallas Mavericks*,82,240.3,37.4,78.8,0.475,7.9,21.6,0.365,29.6,57.3,0.516,17.5,22.6,0.777,9.5,31.9,41.4,23.8,6.8,4.3,14,19.2,100.2,109.7,105,4.7,91.3,0.565,0.525,0.488,Y
2010,Denver Nuggets*,82,240.3,38.4,80.6,0.476,8.1,20.8,0.388,30.3,59.9,0.506,22.7,29.6,0.765,9.6,32.3,42,22.1,7.4,4.3,14.1,21,107.5,112.3,107.3,5,95.6,0.574,0.526,0.5,Y
2010,Detroit Pistons,82,242.4,37.3,81.1,0.46,5.8,15.3,0.376,31.5,65.7,0.479,16.7,22.6,0.737,11.4,27.3,38.6,21.1,7.3,4,13,19.9,97,107.7,111.7,-4,89.2,0.533,0.495,0.526,N
2010,Golden State Warriors,82,241.8,39.6,85.9,0.461,8.4,21.3,0.392,31.3,64.6,0.484,15.7,20.7,0.761,11.6,28.9,40.5,22.5,9,5,14.6,22,103.4,108.2,110.7,-2.5,94.8,0.544,0.51,0.509,N
2010,Houston Rockets,82,242.4,38.7,85.1,0.454,8.3,22.5,0.367,30.4,62.6,0.486,20.3,25.4,0.801,11.7,31.1,42.8,23.8,7.1,4.5,13.5,20,105.9,111.3,109,2.3,94.2,0.55,0.503,0.5,N
2010,Indiana Pacers*,82,241.2,36.6,82.8,0.442,7.1,20.2,0.354,29.5,62.6,0.471,19.4,24.8,0.782,11.1,32.4,43.5,19.6,7.1,5.6,15.4,21.7,99.8,104.8,106,-1.2,94.7,0.533,0.486,0.487,Y
2010,Los Angeles Clippers,82,242.1,36.8,80.4,0.457,6.3,18.5,0.338,30.5,61.9,0.493,18.9,26.7,0.707,11.6,30.5,42.1,22.1,7.1,4.9,16.4,21.1,98.6,105.3,108.7,-3.4,92.8,0.535,0.496,0.499,N
2010,Los Angeles Lakers*,82,241.8,38.1,82.4,0.463,6.4,18.1,0.352,31.8,64.3,0.494,18.8,24.1,0.779,12.1,31.9,44,22,7.3,5.1,13.1,19,101.5,111,104.3,6.7,90.7,0.545,0.502,0.477,Y
2010,Memphis Grizzlies*,82,242.4,39,82.9,0.471,3.8,11.3,0.334,35.3,71.6,0.492,18.1,24.2,0.75,11.8,29.2,41,20.6,9.4,5.4,14,20.8,99.9,107.6,105.1,2.5,91.9,0.534,0.493,0.502,Y
2010,Miami Heat*,82,241.2,37,76.8,0.481,6.7,18,0.37,30.3,58.8,0.515,21.5,27.9,0.769,9.6,32.5,42.1,20,6.6,5.2,13.9,20.4,102.1,111.7,103.5,8.2,90.9,0.573,0.524,0.475,Y
2010,Milwaukee Bucks,82,241.8,34.3,79.8,0.43,5.9,17.2,0.342,28.4,62.6,0.454,17.4,22.9,0.757,10.5,30.2,40.8,18.8,7.5,4.9,13.5,20.5,91.9,101.6,102.5,-0.9,89.8,0.511,0.467,0.481,N
2010,Minnesota Timberwolves,82,241.2,37.7,85.5,0.441,7.2,19.1,0.376,30.5,66.5,0.459,18.5,24.1,0.768,13.2,31.2,44.4,20.1,7.2,5.1,17,22.3,101.1,104.2,111.1,-6.9,96.5,0.526,0.483,0.514,N
2010,New Jersey Nets,82,244,35.6,81,0.44,5.6,16.3,0.343,30,64.6,0.464,17.4,22.9,0.759,11.1,29.8,40.8,21,5.6,4.7,14,22,94.2,103.1,109.9,-6.8,89.9,0.517,0.474,0.503,N
2010,New Orleans Hornets*,82,241.8,35.9,78.2,0.459,5.4,15,0.36,30.5,63.2,0.482,17.7,23.1,0.765,10,30.1,40.1,20.6,7.6,4.4,13,21,94.9,106.2,105.2,1,88.7,0.537,0.493,0.501,Y
2010,New York Knicks*,82,241.2,38.3,83.7,0.457,9.3,25.4,0.368,29,58.4,0.496,20.6,25.5,0.809,10.3,30.1,40.5,21.4,7.6,5.8,13.7,21.3,106.5,110.9,110.1,0.8,95.6,0.561,0.513,0.511,Y
2010,Oklahoma City Thunder*,82,244,37.4,80.6,0.464,5.9,17.1,0.347,31.5,63.5,0.495,24.1,29.3,0.823,11,31.8,42.8,20.4,8,5.9,14.1,22.4,104.8,111.2,107.2,4,92.7,0.561,0.501,0.493,Y
2010,Orlando Magic*,82,241.8,36,78.2,0.461,9.4,25.6,0.366,26.7,52.5,0.507,17.7,25.6,0.692,10.5,32.7,43.2,20,6.7,4.7,14.9,20,99.2,107.9,102,5.9,91.2,0.554,0.521,0.475,Y
2010,Philadelphia 76ers*,82,243,38.1,82.6,0.461,5.4,15.2,0.355,32.7,67.4,0.485,17.4,22.6,0.77,10.4,31.4,41.8,22.7,7.6,4.3,13,19.4,99,106.6,105,1.6,91.7,0.535,0.494,0.487,Y
2010,Phoenix Suns,82,244,39.3,83.5,0.47,8.5,22.6,0.377,30.7,60.8,0.505,18,23.6,0.759,10,30.2,40.2,23.7,6.6,4.4,14.3,20.3,105,109.5,110.4,-0.9,94.4,0.559,0.522,0.513,N
2010,Portland Trail Blazers*,82,241.5,36,80.5,0.447,6.3,18.3,0.345,29.7,62.1,0.477,18,22.4,0.804,12.1,27.2,39.3,21.2,8,4.4,13,19.3,96.3,108.8,107.1,1.7,87.9,0.533,0.486,0.51,Y
2010,Sacramento Kings,82,242.1,38.2,85.1,0.449,5.2,15.6,0.335,33,69.5,0.475,17.7,24.2,0.734,13.1,30.8,43.9,20.4,7.4,4.8,16.1,22,99.4,103.5,109,-5.5,95.2,0.519,0.48,0.513,N
2010,San Antonio Spurs*,82,241.2,38.4,80.8,0.475,8.4,21.1,0.397,30,59.8,0.503,18.5,24.2,0.767,10.1,31.7,41.9,22.4,7.3,4.5,13.4,19,103.7,111.8,105.6,6.2,92.3,0.567,0.527,0.491,Y
2010,Toronto Raptors,82,241.2,38.3,82.4,0.465,4.2,13.3,0.316,34.1,69.1,0.494,18.2,24.1,0.755,11.7,28.6,40.3,21.9,7.1,4.3,14.7,22,99.1,106.1,112.9,-6.8,92.9,0.533,0.491,0.522,N
2010,Utah Jazz,82,242.4,37.4,80.4,0.465,5.3,15.3,0.346,32.1,65,0.493,19.4,25.1,0.771,11,28.5,39.5,23.4,7.7,5.9,14.3,22.7,99.4,108.1,110.1,-2,91,0.544,0.498,0.505,N
2010,Washington Wizards,82,243,37.2,84,0.443,4.8,14.4,0.332,32.4,69.6,0.465,18.2,24.4,0.745,12.4,29,41.3,19.4,8.1,6.1,15.3,22.6,97.3,102.4,110.2,-7.8,93.8,0.513,0.471,0.512,N
2011,Atlanta Hawks*,66,244.9,36.8,81,0.454,7.5,20.2,0.37,29.3,60.9,0.482,15.5,21,0.74,9.9,31.3,41.2,22.4,8.1,4.6,14,17.8,96.6,104.9,101.2,3.7,90.2,0.535,0.5,0.48,Y
2011,Boston Celtics*,66,241.5,35.5,77.1,0.46,5.5,15,0.367,30,62.1,0.483,15.4,19.8,0.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,91.8,101,98.2,2.8,90.4,0.535,0.496,0.452,Y
2011,Charlotte Bobcats,66,240.8,33.2,80.2,0.414,4,13.5,0.295,29.2,66.7,0.439,16.5,22.2,0.746,10.3,28.7,39,20.1,6,5.5,14.5,18.9,87,95.2,110.4,-15.2,91.1,0.483,0.439,0.512,N
2011,Chicago Bulls*,66,241.5,37.4,82.8,0.452,6.3,16.9,0.375,31,65.8,0.471,15.2,21.1,0.722,13.9,32.8,46.7,23.1,6.9,5.9,14,17.3,96.3,107.4,98.3,9.1,89.1,0.523,0.49,0.45,Y
2011,Cleveland Cavaliers,66,241.9,34.3,81.2,0.422,6.7,19.3,0.346,27.6,61.9,0.446,17.8,24.9,0.716,12.7,29.5,42.3,19.8,7.1,4,15.4,20,93,101.1,108.9,-7.8,91.3,0.505,0.463,0.508,N
2011,Dallas Mavericks*,66,243.4,36.3,82,0.443,7.5,22.2,0.339,28.8,59.8,0.482,15.6,20.2,0.771,10.1,32.7,42.8,20.9,8.6,5.1,14,18.6,95.8,103.3,102.3,1,91.4,0.527,0.489,0.479,Y
2011,Denver Nuggets*,66,243,39,81.9,0.476,6.6,19.9,0.332,32.4,62,0.522,19.6,26.7,0.735,11.2,31.9,43.1,24,8.2,5,15.4,19.7,104.1,109.2,106.2,3,94.2,0.556,0.516,0.508,Y
2011,Detroit Pistons,66,241.9,34.7,79.3,0.438,4.8,13.9,0.346,29.9,65.4,0.457,16.6,22.1,0.752,11.7,28.5,40.3,18.7,7,4.2,15.7,19.6,90.9,101,106.3,-5.3,89.2,0.51,0.468,0.5,N
2011,Golden State Warriors,66,241.1,37.7,82.5,0.457,7.9,20.5,0.388,29.8,62,0.48,14.4,18.7,0.77,9.7,29.5,39.2,22.3,8,5.5,13.9,21.4,97.8,105.4,109.1,-3.7,92.3,0.539,0.505,0.496,N
2011,Houston Rockets,66,243.4,37.7,84,0.449,7.2,20.2,0.359,30.5,63.8,0.477,15.4,19.7,0.782,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4,98.1,105.5,105.2,0.3,91.7,0.529,0.492,0.49,N
2011,Indiana Pacers*,66,242.3,35.7,81.4,0.438,5.9,16.1,0.368,29.7,65.3,0.455,20.4,26.1,0.782,12.5,31.4,43.9,18.6,7.9,5.4,14,21.7,97.7,106.7,103.1,3.6,90.7,0.526,0.474,0.476,Y
2011,Los Angeles Clippers*,66,241.9,37,81.3,0.455,7.8,21.8,0.357,29.2,59.5,0.49,15.8,23.3,0.68,12.1,29.4,41.6,21,8.4,4.8,13.3,21.2,97.5,108.5,105.7,2.8,89.2,0.533,0.502,0.492,Y
2011,Los Angeles Lakers*,66,243.4,36.8,80.6,0.457,5.5,16.8,0.326,31.3,63.7,0.491,18.2,24.1,0.756,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,97.3,106,104.4,1.6,90.5,0.534,0.491,0.476,Y
2011,Memphis Grizzlies*,66,241.5,36.7,82.2,0.447,4.2,12.9,0.326,32.5,69.3,0.47,17.3,22.8,0.759,12.6,29.5,42,19.5,9.6,5.2,14.5,19.9,95,104,101.8,2.2,90.8,0.515,0.473,0.485,Y
2011,Miami Heat*,66,243,37.1,79,0.469,5.6,15.6,0.359,31.5,63.4,0.496,18.8,24.2,0.775,10.4,31.2,41.6,20,8.9,5.4,15.2,19.4,98.5,106.6,100.2,6.4,91.2,0.549,0.505,0.479,Y
2011,Milwaukee Bucks,66,240.4,37.9,85.6,0.443,6.6,19.2,0.345,31.3,66.5,0.471,16.6,21.4,0.774,12.4,30,42.5,23.5,8.3,5.1,14.1,19.3,99,105.5,105.2,0.3,93.7,0.521,0.481,0.489,N
2011,Minnesota Timberwolves,66,241.5,35.7,82.3,0.433,7.2,21.6,0.332,28.5,60.8,0.469,19.4,25.2,0.771,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,97.9,104.3,106.6,-2.3,93.3,0.524,0.477,0.491,N
2011,New Jersey Nets,66,240.8,34.3,80.6,0.425,7.7,22.4,0.342,26.6,58.2,0.457,16.9,21.7,0.777,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2,93.1,102.9,109.6,-6.7,90.1,0.516,0.473,0.513,N
2011,New Orleans Hornets,66,241.5,34.8,77.3,0.451,3.9,11.8,0.333,30.9,65.5,0.472,16,21.2,0.757,11,30.2,41.1,20.7,7.4,4.8,15.5,20.1,89.6,100.9,105.1,-4.2,88.3,0.517,0.476,0.485,N
2011,New York Knicks*,66,241.5,35.8,80.8,0.443,7.8,23.3,0.336,28,57.5,0.487,18.3,24.8,0.741,11.3,30.5,41.7,20.1,9.4,4.2,16,21.1,97.8,104.4,101,3.4,93.2,0.533,0.492,0.485,Y
2011,Oklahoma City Thunder*,66,242.3,37.3,79.2,0.471,7.2,20,0.358,30.2,59.3,0.509,21.3,26.4,0.806,11,32.7,43.7,18.5,7.5,8.2,16.3,20.5,103.1,109.8,103.2,6.6,93,0.567,0.516,0.465,Y
2011,Orlando Magic*,66,241.9,34.5,78.2,0.441,10.2,27,0.375,24.3,51.2,0.475,15.1,22.8,0.66,11.2,31.2,42.5,20,6.8,4.2,14.9,17.7,94.2,105,104.1,0.9,89,0.533,0.506,0.488,Y
2011,Philadelphia 76ers*,66,241.1,37.4,83.6,0.448,5.3,14.6,0.362,32.2,69,0.466,13.5,18.2,0.742,10.7,32.5,43.2,22,8,5.2,11.2,17.5,93.6,103.9,99.2,4.7,89.7,0.511,0.48,0.46,Y
2011,Phoenix Suns,66,240,37.8,82.5,0.458,6.7,19.6,0.343,31.1,62.9,0.494,16,21.2,0.757,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7,98.4,106.2,106.5,-0.3,92.6,0.536,0.499,0.491,N
